t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm
00:04,11.32,1.656,18.747,1784,508.4164747,484.4783974,0.95,291.7,53.5,35.3,37.1,8.01,2.3,106
00:10,10.53,2.121,22.326,1989,575.8812915,575.0862012,1,376.4,68.3,37.5,37.5,9.07,2.6,105
00:14,14.25,1.406,20.038,1266,483.8800461,476.0189084,0.98,252.5,41.8,39.3,40,7.62,2.2,105
00:18,14.42,1.256,18.115,1127,434.128653,424.0296539,0.98,225.9,36.8,39.4,40.3,6.84,2,103
00:22,17.54,1.324,23.228,1401,549.6017421,545.2361176,0.99,238.5,38.9,40,40.3,8.66,2.5,103
00:26,14.25,1.948,27.762,1426,675.4963726,697.4701658,1.03,348.8,61.2,39.6,38.4,10.64,3,103
00:30,13.48,1.679,22.638,1819,478.5781911,514.695845,1.08,306.9,47.8,45.3,42.1,7.54,2.2,106
00:34,16.09,1.151,18.515,1147,356.9612016,382.2721386,1.07,213.1,29.8,48.7,45.5,5.62,1.6,106
00:38,12.9,1.458,18.813,1346,387.4875393,426.5969184,1.1,267.3,41.4,46.2,42,6.1,1.7,104
00:43,15.11,1.184,17.894,1080,359.9411377,389.606348,1.08,217.9,32.3,46.8,43.2,5.67,1.6,104
00:47,13.25,2.007,26.583,1688,572.7168576,638.3104651,1.11,365.4,60.3,44.8,40.2,9.02,2.6,103
00:50,17.8,2.176,38.742,1197,851.0298835,942.1340153,1.11,395.1,66.2,44.1,39.8,13.4,3.8,105
00:53,25.42,0.394,10.017,1292,62.1269433,66.7701659,1.07,79.4,3.4,132.6,123.4,0.98,0.3,105
00:58,13.42,1.163,15.611,1131,281.8267044,317.8542932,1.13,216.8,29.7,52.1,46.2,4.44,1.3,103
01:02,14.18,1.033,14.652,951,285.7032394,304.3095162,1.07,191,26.9,47.8,44.9,4.5,1.3,106
01:07,10.49,0.389,4.08,408,64.0360825,63.2480724,0.99,73.9,7.6,52.3,52.9,1.01,0.3,99
01:11,15.83,1.374,21.752,1117,582.494226,536.6131827,0.92,242.9,42.4,35.4,38.5,9.17,2.6,105
01:14,17.8,1.214,21.614,1245,537.8749404,489.0493444,0.91,217.5,34.4,37.9,41.6,8.47,2.4,109
